Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_ID,Loan_Status
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,4583,1508.0,128.0,360.0,1.0,LP001003,N
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,3000,0.0,66.0,360.0,1.0,LP001005,Y
0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,2583,2358.0,120.0,360.0,1.0,LP001006,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,6000,0.0,141.0,360.0,1.0,LP001008,Y
0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,5417,4196.0,267.0,360.0,1.0,LP001011,Y
0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,2333,1516.0,95.0,360.0,1.0,LP001013,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3036,2504.0,158.0,360.0,0.0,LP001014,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4006,1526.0,168.0,360.0,1.0,LP001018,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,12841,10968.0,349.0,360.0,1.0,LP001020,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3200,700.0,70.0,360.0,1.0,LP001024,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3073,8106.0,200.0,360.0,1.0,LP001028,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1853,2840.0,114.0,360.0,1.0,LP001029,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1299,1086.0,17.0,120.0,1.0,LP001030,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,4950,0.0,125.0,360.0,1.0,LP001032,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3510,0.0,76.0,360.0,0.0,LP001036,N
0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,4887,0.0,133.0,360.0,1.0,LP001038,N
0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,7660,0.0,104.0,360.0,0.0,LP001043,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,5955,5625.0,315.0,360.0,1.0,LP001046,Y
0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,2600,1911.0,116.0,360.0,0.0,LP001047,N
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,9560,0.0,191.0,360.0,1.0,LP001066,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2799,2253.0,122.0,360.0,1.0,LP001068,Y
0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,4226,1040.0,110.0,360.0,1.0,LP001073,Y
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1442,0.0,35.0,360.0,1.0,LP001086,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3167,0.0,74.0,360.0,1.0,LP001095,N
0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,4692,0.0,106.0,360.0,1.0,LP001097,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3500,1667.0,114.0,360.0,1.0,LP001098,Y
0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,12500,3000.0,320.0,360.0,1.0,LP001100,N
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3667,1459.0,144.0,360.0,1.0,LP001112,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,4166,7210.0,184.0,360.0,1.0,LP001114,Y
0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,LP001116,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3600,0.0,80.0,360.0,1.0,LP001119,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1800,1213.0,47.0,360.0,1.0,LP001120,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3941,2336.0,134.0,360.0,1.0,LP001131,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,5649,0.0,44.0,360.0,1.0,LP001138,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,5821,0.0,144.0,360.0,1.0,LP001144,Y
1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,2645,3440.0,120.0,360.0,0.0,LP001146,N
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4000,2275.0,144.0,360.0,1.0,LP001151,Y
1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1928,1644.0,100.0,360.0,1.0,LP001155,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3086,0.0,120.0,360.0,1.0,LP001157,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4230,0.0,112.0,360.0,1.0,LP001164,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4616,0.0,134.0,360.0,1.0,LP001179,N
1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,11500,0.0,286.0,360.0,0.0,LP001186,N
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2708,1167.0,97.0,360.0,1.0,LP001194,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2132,1591.0,96.0,360.0,1.0,LP001195,Y
